concept,prefLabel,altLabels
http://www.eionet.europa.eu/gemet/concept/13298,communication policy,communications policy
http://www.eionet.europa.eu/gemet/concept/13300,space policy,
http://www.eionet.europa.eu/gemet/concept/13303,humanitarian aid,
http://www.eionet.europa.eu/gemet/concept/13304,international conflict,
http://www.eionet.europa.eu/gemet/concept/13305,peacekeeping,
http://www.eionet.europa.eu/gemet/concept/13308,general education,
http://www.eionet.europa.eu/gemet/concept/13309,schoolwork,
http://www.eionet.europa.eu/gemet/concept/13310,school life,
http://www.eionet.europa.eu/gemet/concept/13312,documentary system,
http://www.eionet.europa.eu/gemet/concept/13320,artificial reproductive technique,
http://www.eionet.europa.eu/gemet/concept/13325,internal migration,
http://www.eionet.europa.eu/gemet/concept/13327,composition of population,
http://www.eionet.europa.eu/gemet/concept/1333,chemical structure,
http://www.eionet.europa.eu/gemet/concept/13333,trend of opinion,
http://www.eionet.europa.eu/gemet/concept/13335,political ideology,
http://www.eionet.europa.eu/gemet/concept/13336,marital status,
http://www.eionet.europa.eu/gemet/concept/13337,socio-cultural group,
http://www.eionet.europa.eu/gemet/concept/13339,occupational status,
http://www.eionet.europa.eu/gemet/concept/13340,termination of employment,
http://www.eionet.europa.eu/gemet/concept/13342,leave on social grounds,
http://www.eionet.europa.eu/gemet/concept/1347,chemisorption,
http://www.eionet.europa.eu/gemet/concept/135,aerial photograph,
http://www.eionet.europa.eu/gemet/concept/13553,wood hauling,
http://www.eionet.europa.eu/gemet/concept/13555,royalty,
http://www.eionet.europa.eu/gemet/concept/13561,maintenance (technical),
http://www.eionet.europa.eu/gemet/concept/13572,cutting (vegetative propagation),
http://www.eionet.europa.eu/gemet/concept/1362,chiropteran,
http://www.eionet.europa.eu/gemet/concept/13697,approval,
http://www.eionet.europa.eu/gemet/concept/1373,chlorine,
http://www.eionet.europa.eu/gemet/concept/13937,penal sanction,
http://www.eionet.europa.eu/gemet/concept/14098,sorting at source,
http://www.eionet.europa.eu/gemet/concept/14146,coastal management,
http://www.eionet.europa.eu/gemet/concept/14163,ministry building,
http://www.eionet.europa.eu/gemet/concept/14165,aerial photography,
http://www.eionet.europa.eu/gemet/concept/14236,returnable container,
http://www.eionet.europa.eu/gemet/concept/1431,civil air traffic,
http://www.eionet.europa.eu/gemet/concept/14418,municipal heating network,
http://www.eionet.europa.eu/gemet/concept/1445,claim for restitution,
http://www.eionet.europa.eu/gemet/concept/1446,class action suits law,
http://www.eionet.europa.eu/gemet/concept/1449,clay,
http://www.eionet.europa.eu/gemet/concept/14499,excise,
http://www.eionet.europa.eu/gemet/concept/14507,dipteran,
http://www.eionet.europa.eu/gemet/concept/1457,cleansing department,
http://www.eionet.europa.eu/gemet/concept/14581,underground railway,
http://www.eionet.europa.eu/gemet/concept/14588,government contracting,
http://www.eionet.europa.eu/gemet/concept/14619,surface active compound,
http://www.eionet.europa.eu/gemet/concept/14636,pH-value,
http://www.eionet.europa.eu/gemet/concept/14651,craft industry,
http://www.eionet.europa.eu/gemet/concept/14663,chart (nautical),
http://www.eionet.europa.eu/gemet/concept/14671,nature conservation policy,
http://www.eionet.europa.eu/gemet/concept/1481,climbing plant (wall),
http://www.eionet.europa.eu/gemet/concept/14835,green fiscal instrument,
http://www.eionet.europa.eu/gemet/concept/1484,cloning,
http://www.eionet.europa.eu/gemet/concept/14842,Black Sea,
http://www.eionet.europa.eu/gemet/concept/14844,Mediterranean Sea,
http://www.eionet.europa.eu/gemet/concept/14852,land-based activity,
http://www.eionet.europa.eu/gemet/concept/14854,sectoral assessment,
http://www.eionet.europa.eu/gemet/concept/14858,data centre,
http://www.eionet.europa.eu/gemet/concept/14860,electronic information network,
http://www.eionet.europa.eu/gemet/concept/14861,wide area network,
http://www.eionet.europa.eu/gemet/concept/14863,World Wide Web,
http://www.eionet.europa.eu/gemet/concept/14864,homepage,
http://www.eionet.europa.eu/gemet/concept/14865,hypertext,
http://www.eionet.europa.eu/gemet/concept/14866,bulletin board system,
http://www.eionet.europa.eu/gemet/concept/14867,newsgroup,
http://www.eionet.europa.eu/gemet/concept/14868,electronic mail,
http://www.eionet.europa.eu/gemet/concept/14869,multimedia technology,
http://www.eionet.europa.eu/gemet/concept/1487,closing down of firm,
http://www.eionet.europa.eu/gemet/concept/14870,audio-visual presentation,
http://www.eionet.europa.eu/gemet/concept/14871,information kit,
http://www.eionet.europa.eu/gemet/concept/14872,exhibit,
http://www.eionet.europa.eu/gemet/concept/14873,newsletter,
http://www.eionet.europa.eu/gemet/concept/14874,radio programme,
http://www.eionet.europa.eu/gemet/concept/14875,television programme,
http://www.eionet.europa.eu/gemet/concept/14876,public relations,
http://www.eionet.europa.eu/gemet/concept/14878,bibliographic information system,
http://www.eionet.europa.eu/gemet/concept/14879,bibliographic information,
http://www.eionet.europa.eu/gemet/concept/14880,referral information system,
http://www.eionet.europa.eu/gemet/concept/14881,referral information,
http://www.eionet.europa.eu/gemet/concept/14882,statistical information system,
http://www.eionet.europa.eu/gemet/concept/14883,statistical information,
http://www.eionet.europa.eu/gemet/concept/14885,reference service,
http://www.eionet.europa.eu/gemet/concept/14887,document lending,
http://www.eionet.europa.eu/gemet/concept/14888,inter-library loan,
http://www.eionet.europa.eu/gemet/concept/14889,selective dissemination of information,
http://www.eionet.europa.eu/gemet/concept/1489,clothing,
http://www.eionet.europa.eu/gemet/concept/14890,CD-ROM search service,
http://www.eionet.europa.eu/gemet/concept/14892,information clearing-house,
http://www.eionet.europa.eu/gemet/concept/14893,decision-support system,
http://www.eionet.europa.eu/gemet/concept/14897,relational database,
http://www.eionet.europa.eu/gemet/concept/14898,multispectral scanner,
http://www.eionet.europa.eu/gemet/concept/14899,resolution (parameter),
http://www.eionet.europa.eu/gemet/concept/14900,pixel,
http://www.eionet.europa.eu/gemet/concept/14901,spectral band,
