"concept","prefLabel","altLabels"
"http://aims.fao.org/aos/agrovoc/c_4834","milkfish","""bandeng""@en|_|""bandang""@en"
"http://aims.fao.org/aos/agrovoc/c_45487","Osteodiscus cascadiae",
"http://aims.fao.org/aos/agrovoc/c_26721","Tetranychus urticae",
"http://aims.fao.org/aos/agrovoc/c_262c8097","tropical legumes",
"http://aims.fao.org/aos/agrovoc/c_48708","Loliolopsis diomedeae",
"http://aims.fao.org/aos/agrovoc/c_38226","Carcharhinus melanopterus",
"http://aims.fao.org/aos/agrovoc/c_28548","saponification",
"http://aims.fao.org/aos/agrovoc/c_4717","melibiose",
"http://aims.fao.org/aos/agrovoc/c_3b827e95","market demand",
"http://aims.fao.org/aos/agrovoc/c_25793","low volume spraying","""reduced volume spraying""@en"
"http://aims.fao.org/aos/agrovoc/c_30180","Hyphantria cunea",
"http://aims.fao.org/aos/agrovoc/c_76f90d4f","Anacridium aegyptium",
"http://aims.fao.org/aos/agrovoc/c_30298","Platyptilia",
"http://aims.fao.org/aos/agrovoc/c_49794","Ahnfeltiaceae",
"http://aims.fao.org/aos/agrovoc/c_1a9252c2","reproductive isolation","""sexual isolation""@en"
"http://aims.fao.org/aos/agrovoc/c_94b39c48","pollution indicators",
"http://aims.fao.org/aos/agrovoc/c_36456","Psychotria",
"http://aims.fao.org/aos/agrovoc/c_29841","Lysiphlebus testaceipes",
"http://aims.fao.org/aos/agrovoc/c_12276805","gene silencing",
"http://aims.fao.org/aos/agrovoc/c_49334","Marphysa sanguinea",
"http://aims.fao.org/aos/agrovoc/c_28904","livestock censuses",
"http://aims.fao.org/aos/agrovoc/c_6445","Ranales",
"http://aims.fao.org/aos/agrovoc/c_31024","Dracunculidae",
"http://aims.fao.org/aos/agrovoc/c_29150","catering",
"http://aims.fao.org/aos/agrovoc/c_49636","Hypnea saidana",
"http://aims.fao.org/aos/agrovoc/c_4389","lithosols",
"http://aims.fao.org/aos/agrovoc/c_81a5711d","Pieris japonica","""Japanese andromeda""@en"
"http://aims.fao.org/aos/agrovoc/c_26716","Terminalia superba","""Limba""@en"
"http://aims.fao.org/aos/agrovoc/c_7c518227","gender-transformative approaches",
"http://aims.fao.org/aos/agrovoc/c_24059668","fish spoilage","""spoilage (fish)""@en"
"http://aims.fao.org/aos/agrovoc/c_37443","docosahexaenoic acid",
"http://aims.fao.org/aos/agrovoc/c_b12fed25","Adoxa moschatellina",
"http://aims.fao.org/aos/agrovoc/c_43367","Upeneus parvus",
"http://aims.fao.org/aos/agrovoc/c_42590","Fowleria aurita",
"http://aims.fao.org/aos/agrovoc/c_8147","valine",
"http://aims.fao.org/aos/agrovoc/c_25341","sediment","""sedimentary deposits""@en"
"http://aims.fao.org/aos/agrovoc/c_b20239b1","Fulica atra",
"http://aims.fao.org/aos/agrovoc/c_1358514161952","Bartın Province",
"http://aims.fao.org/aos/agrovoc/c_ee72aeff","Carpobrotus",
"http://aims.fao.org/aos/agrovoc/c_31290","carbaryl",
"http://aims.fao.org/aos/agrovoc/c_38205","Cephaloscyllium fasciatum",
"http://aims.fao.org/aos/agrovoc/c_ced5eaa8","life-saving equipment",
"http://aims.fao.org/aos/agrovoc/c_25789","weighing",
"http://aims.fao.org/aos/agrovoc/c_24fa495a","stress (mechanics)",
"http://aims.fao.org/aos/agrovoc/c_479c499a","Alisols",
"http://aims.fao.org/aos/agrovoc/c_24203","mixed forest stands",
"http://aims.fao.org/aos/agrovoc/c_44579","Myersina lachneri",
"http://aims.fao.org/aos/agrovoc/c_27358","Rhynchophorus palmarum",
"http://aims.fao.org/aos/agrovoc/c_43671","Otopharynx argyrosoma",
"http://aims.fao.org/aos/agrovoc/c_dad52dd2","hot fogging concentrates",
"http://aims.fao.org/aos/agrovoc/c_d68ef188","aflatoxin M2",
"http://aims.fao.org/aos/agrovoc/c_29808","Apis cerana",
"http://aims.fao.org/aos/agrovoc/c_6003","platelets","""blood platelets""@en|_|""thrombocytes""@en"
"http://aims.fao.org/aos/agrovoc/c_43110","Sonorolux fluminis",
"http://aims.fao.org/aos/agrovoc/c_16171","corn cob mix","""CCM""@en"
"http://aims.fao.org/aos/agrovoc/c_49416","Stichopodidae",
"http://aims.fao.org/aos/agrovoc/c_331318","dry matter",
"http://aims.fao.org/aos/agrovoc/c_41900","Tomeurus gracilis",
"http://aims.fao.org/aos/agrovoc/c_46000","Gastroscyphus hectoris",
"http://aims.fao.org/aos/agrovoc/c_49905","colourants",
"http://aims.fao.org/aos/agrovoc/c_42e468ee","spinosyn insecticides",
"http://aims.fao.org/aos/agrovoc/c_28292","gas liquid chromatography",
"http://aims.fao.org/aos/agrovoc/c_25799","hot air drying",
"http://aims.fao.org/aos/agrovoc/c_8d7b3264","Anchusa stylosa",
"http://aims.fao.org/aos/agrovoc/c_29499","deoxyribonuclease","""DNase (IUPAC 3 1 21 1)""@en"
"http://aims.fao.org/aos/agrovoc/c_23812","osteopathy",
"http://aims.fao.org/aos/agrovoc/c_5228","Northeast Pacific",
"http://aims.fao.org/aos/agrovoc/c_3fb84478","water productivity",
"http://aims.fao.org/aos/agrovoc/c_1beeb695","Neogene","""Upper Tertiary""@en"
"http://aims.fao.org/aos/agrovoc/c_4b054845","Erysiphe mayorii",
"http://aims.fao.org/aos/agrovoc/c_40340","Capoeta capoeta",
"http://aims.fao.org/aos/agrovoc/c_47669","Turridae",
"http://aims.fao.org/aos/agrovoc/c_cbfe1309","trains",
"http://aims.fao.org/aos/agrovoc/c_38724","Himantura fai",
"http://aims.fao.org/aos/agrovoc/c_9fda7c0c","inquilinism",
"http://aims.fao.org/aos/agrovoc/c_eb14ec98","caprine arthritis-encephalitis","""CAE""@en"
"http://aims.fao.org/aos/agrovoc/c_e7e46dc7","Brugmansia candida",
"http://aims.fao.org/aos/agrovoc/c_3677f6fd","Tamarix duezenlii",
"http://aims.fao.org/aos/agrovoc/c_32031","sugar phosphates",
"http://aims.fao.org/aos/agrovoc/c_38897","Narke dipterygia",
"http://aims.fao.org/aos/agrovoc/c_50113","educational systems","""education systems""@en"
"http://aims.fao.org/aos/agrovoc/c_76b6f574","mining equipment",
"http://aims.fao.org/aos/agrovoc/c_31514","thiram","""thiuram""@en|_|""TMTD""@en"
"http://aims.fao.org/aos/agrovoc/c_38718","Urogymnus asperrimus",
"http://aims.fao.org/aos/agrovoc/c_38255","Scoliodon laticaudus",
"http://aims.fao.org/aos/agrovoc/c_41106","Synodontis contractus",
"http://aims.fao.org/aos/agrovoc/c_41809","Regalecus glesne",
"http://aims.fao.org/aos/agrovoc/c_648412ca","sediment sources",
"http://aims.fao.org/aos/agrovoc/c_40179","Chela laubuca",
"http://aims.fao.org/aos/agrovoc/c_41ef887e","Litsea cubeba",
"http://aims.fao.org/aos/agrovoc/c_17757","haymaking",
"http://aims.fao.org/aos/agrovoc/c_cbafa2e3","aquaculture facilities",
"http://aims.fao.org/aos/agrovoc/c_46932","Metanephrops rubellus",
"http://aims.fao.org/aos/agrovoc/c_27405678","wood bond strength",
"http://aims.fao.org/aos/agrovoc/c_30653","Leptocorisa oratorius",
"http://aims.fao.org/aos/agrovoc/c_44665","Oxymetopon compressus",
"http://aims.fao.org/aos/agrovoc/c_1323691823791","Albizia lebbeck","""Acacia lebbeck""@en"
"http://aims.fao.org/aos/agrovoc/c_e338d835","Mycterothrips",
"http://aims.fao.org/aos/agrovoc/c_2fb3c2b5","aquatic ecology",
"http://aims.fao.org/aos/agrovoc/c_41999","Brotulina erythrea",
"http://aims.fao.org/aos/agrovoc/c_24888","protoplast fusion",
"http://aims.fao.org/aos/agrovoc/c_5011","Mustelus",
"http://aims.fao.org/aos/agrovoc/c_33936","storage proteins",
"http://aims.fao.org/aos/agrovoc/c_5046","Myristicaceae",
"http://aims.fao.org/aos/agrovoc/c_41278","Ophisurus serpens",
"http://aims.fao.org/aos/agrovoc/c_32463","goat cheese",
"http://aims.fao.org/aos/agrovoc/c_1801","concentrating",
"http://aims.fao.org/aos/agrovoc/c_8dab65bc","soil loss","""soil denudation""@en"
"http://aims.fao.org/aos/agrovoc/c_11729","indexing of information","""subject indexing""@en"
"http://aims.fao.org/aos/agrovoc/c_7540","Svalbard",
"http://aims.fao.org/aos/agrovoc/c_14663","suet",
"http://aims.fao.org/aos/agrovoc/c_8394","wind power","""wind energy""@en"
"http://aims.fao.org/aos/agrovoc/c_7268","sowing","""seed planting""@en|_|""seeding (seed)""@en|_|""seed placement""@en"
"http://aims.fao.org/aos/agrovoc/c_2576","Ensete",
"http://aims.fao.org/aos/agrovoc/c_30922","Dermatophagoides pteronyssinus",
"http://aims.fao.org/aos/agrovoc/c_44340","Pseudoscopelus altipinnis",
"http://aims.fao.org/aos/agrovoc/c_65cf8212","shipping noise",
"http://aims.fao.org/aos/agrovoc/c_26749","Yersinia enterocolitica",
"http://aims.fao.org/aos/agrovoc/c_15596","gerbils",
"http://aims.fao.org/aos/agrovoc/c_15563","soy milk",
"http://aims.fao.org/aos/agrovoc/c_50ded8ea","polyunsaturated hydrocarbons",
"http://aims.fao.org/aos/agrovoc/c_43684","Perissodus eccentricus",
"http://aims.fao.org/aos/agrovoc/c_42044","Cetostoma regani",
"http://aims.fao.org/aos/agrovoc/c_32448","fish handling",
"http://aims.fao.org/aos/agrovoc/c_36423","Caligus elongatus",
"http://aims.fao.org/aos/agrovoc/c_36500","trinitrotoluene","""TNT""@en"
"http://aims.fao.org/aos/agrovoc/c_74aec645","Allium triquetrum",
"http://aims.fao.org/aos/agrovoc/c_46618","Argis lar",
"http://aims.fao.org/aos/agrovoc/c_1372070913802","community-based forest enterprise development",
"http://aims.fao.org/aos/agrovoc/c_7bb5ff73","tralkoxydim",
"http://aims.fao.org/aos/agrovoc/c_155dfd43","tropical meteorology","""tropical climatology""@en"
"http://aims.fao.org/aos/agrovoc/c_5ee62e7d","Abergelle goat",
"http://aims.fao.org/aos/agrovoc/c_24020","dry period","""drying off (lactation)""@en"
"http://aims.fao.org/aos/agrovoc/c_26584","Nigella",
"http://aims.fao.org/aos/agrovoc/c_efe35ddc","Golovinomyces",
"http://aims.fao.org/aos/agrovoc/c_79665dc3","Corylobium",
"http://aims.fao.org/aos/agrovoc/c_4910","Moniezia",
"http://aims.fao.org/aos/agrovoc/c_1572","chlormequat","""CCC (chlorocholine chloride)""@en|_|""chlorocholine chloride""@en"
"http://aims.fao.org/aos/agrovoc/c_fcec6570","seamanship",
"http://aims.fao.org/aos/agrovoc/c_2814","fat products",
"http://aims.fao.org/aos/agrovoc/c_31541","Hymenella","""Hymenula""@en"
"http://aims.fao.org/aos/agrovoc/c_3837","individual feeding",
"http://aims.fao.org/aos/agrovoc/c_6027","Plumeria rubra",
"http://aims.fao.org/aos/agrovoc/c_42259","Afromastacembelus flavidus",
"http://aims.fao.org/aos/agrovoc/c_4565","Podosphaera",
"http://aims.fao.org/aos/agrovoc/c_29e209c6","drilling fluids","""drilling muds""@en|_|""muds (drilling)""@en|_|""sludge (drilling fluids)""@en"
"http://aims.fao.org/aos/agrovoc/c_1321","Caribbean Sea",
"http://aims.fao.org/aos/agrovoc/c_25751abd","Mint virus 2","""MV2 (Mint virus 2)""@en"
"http://aims.fao.org/aos/agrovoc/c_ff529201","Hirudo medicinalis",
"http://aims.fao.org/aos/agrovoc/c_38698","Dasyatis longus",
"http://aims.fao.org/aos/agrovoc/c_26488","Eria",
"http://aims.fao.org/aos/agrovoc/c_41547","Macruronus novaezelandiae",
"http://aims.fao.org/aos/agrovoc/c_33675","Cudrania",
"http://aims.fao.org/aos/agrovoc/c_49340","Diopatra neapolitana",
