concept,prefLabel
http://w3id.org/glosis/model/siteplot/rockOutcropsCoverProperty,rock outcrops cover
http://w3id.org/glosis/model/siteplot/rockOutcropsDistanceProperty,rock outcrops distance
http://w3id.org/glosis/model/siteplot/shrubsAbundanceProperty,shrubs abundance
http://w3id.org/glosis/model/siteplot/slopeFormProperty,slope form
http://w3id.org/glosis/model/siteplot/slopeGradientClassProperty,slope gradient class
http://w3id.org/glosis/model/siteplot/slopeGradientProperty,slope gradient
http://w3id.org/glosis/model/siteplot/slopeOrientationClassProperty,slope orientation class
http://w3id.org/glosis/model/siteplot/slopeOrientationProperty,slope orientation
http://w3id.org/glosis/model/siteplot/slopePathwaysProperty,slope pathways
http://w3id.org/glosis/model/siteplot/soilCarbonDensityProperty,soil carbon density
http://w3id.org/glosis/model/siteplot/surfaceAgeProperty,surface age
http://w3id.org/glosis/model/siteplot/treeDensityProperty,tree density
http://w3id.org/glosis/model/siteplot/vegetationClassProperty,vegetation class
http://w3id.org/glosis/model/siteplot/weatherConditionsCurrentProperty,weather conditions current
http://w3id.org/glosis/model/siteplot/weatherConditionsPastProperty,weather conditions past
http://w3id.org/glosis/model/siteplot/weatheringRockProperty,weathering rock
http://w3id.org/glosis/model/profile/profileDescriptionStatusProperty,profile description status
http://w3id.org/glosis/model/profile/soilTypeProperty,soil type
http://w3id.org/glosis/model/common/bleachedSandProperty,bleached sand
http://w3id.org/glosis/model/common/colourDryProperty,colour dry
http://w3id.org/glosis/model/common/colourMoistProperty,colour moist
http://w3id.org/glosis/model/common/cracksDepthProperty,cracks depth
http://w3id.org/glosis/model/common/cracksDistanceProperty,cracks distance
http://w3id.org/glosis/model/common/cracksWidthProperty,cracks width
http://w3id.org/glosis/model/common/fragmentCoverProperty,fragment cover
http://w3id.org/glosis/model/common/fragmentsSizeProperty,fragments size
http://w3id.org/glosis/model/common/infiltrationRateClassProperty,infiltration rate class
http://w3id.org/glosis/model/common/infiltrationRateNumericProperty,infiltration rate numeric
http://w3id.org/glosis/model/common/organicMatterClassProperty,organic matter class
http://w3id.org/glosis/model/common/rockAbundanceProperty,rock abundance
http://w3id.org/glosis/model/common/rockShapeProperty,rock shape
http://w3id.org/glosis/model/common/rockSizeProperty,rock size
http://w3id.org/glosis/model/common/soilDepthBedrockProperty,soil depth bedrock
http://w3id.org/glosis/model/common/soilDepthProperty,soil depth
http://w3id.org/glosis/model/common/soilDepthRootableClassProperty,soil depth rootable class
http://w3id.org/glosis/model/common/soilDepthRootableProperty,soil depth rootable
http://w3id.org/glosis/model/common/soilDepthSampledProperty,soil depth sampled
http://w3id.org/glosis/model/common/textureProperty,texture
http://w3id.org/glosis/model/common/weatheringFragmentsProperty,weathering fragments
http://w3id.org/glosis/model/siteplot/forestAbundanceProperty,forest abundance
